CLAVE DE CENTRO,NOMBRE DEL CENTRO DE TRABAJO,TIPO DE INMUEBLE,SUB TIPO DE INMUEBLE,ALUMNOS DE LA ESCUELA,NOMBRE DE CALLE,NUMERO EXTERIOR,ENTRE CALLE,Y CALLE,CALLE POSTERIOR,CODIGO POSTAL,ESTADO,MUNICIPIO,LOCALIDAD,EDOMUN,EDOMUNLOC,TIPO DE ZONA RURAL-URBANO,LONGITUD,LATITUD,TURNO
01DPR0041W,JOSE GUADALUPE POSADA AGUILAR,PRIMARIA,GENERAL,163,FRANCISCO PONCE,0,PONIENTE,POZO NUEVO,AVENIDA BENITO JUAREZ,20320,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,MACARIO J. GÓMEZ [COLONIA],1011,10110011,RURAL,-102.253441,21.977376,VESPERTINO
01DPR0058W,FEDERICO ENGELS,PRIMARIA,GENERAL,199,SAN JUAN,0,SIN REFERENCIA,SAN JOSE,NINGUNO,20340,AGUASCALIENTES,AGUASCALIENTES,VILLA LICENCIADO JESÚS TERÁN (CALVILLITO),1001,10010479,URBANA,-102.196255,21.821367,CONTINUO (JORNADA AMPLIADA)
01DPR0099W,VICENTA TRUJILLO,PRIMARIA,GENERAL,266,EMILIANO ZAPATA,0,INDEPENDENCIA PONIENTE,16 DE SEPTIEMBRE,NINGUNO,20320,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,PUERTECITO DE LA VIRGEN,1011,10110053,RURAL,-102.269536,21.959492,VESPERTINO
01DPR0210A,LIC. PRIMO VERDAD,PRIMARIA,GENERAL,425,GUADALUPE NAJERA JIMENEZ,0,SIN REFERENCIA,AGUSTIN DE ITURBIDE,NINGUNO,20340,AGUASCALIENTES,AGUASCALIENTES,VILLA LICENCIADO JESÚS TERÁN (CALVILLITO),1001,10010479,URBANA,-102.188707,21.827164,MATUTINO
01DPR0222F,JOSE MARIA MORELOS Y PAVON,PRIMARIA,GENERAL,230,GERANIO,0,GIRASOL,AZALEA,NINGUNO,20320,AGUASCALIENTES,AGUASCALIENTES,NORIAS DEL PASO HONDO,1001,10010357,URBANA,-102.208956,21.861295,MATUTINO
01DPR0225C,ADOLFO LOPEZ MATEOS,PRIMARIA,GENERAL,454,GUADALUPE VICTORIA,0,NINGUNO,GUADALUPE VICTORIA,NINGUNO,20800,AGUASCALIENTES,CALVILLO,CALVILLO,1003,10030001,URBANA,-102.720918,21.851386,CONTINUO (JORNADA AMPLIADA)
01DPR0377H,FERMIN BECERRA,PRIMARIA,GENERAL,234,LICENCIADO ADOLFO RUIZ CORTINES,0,16 DE SEPTIEMBRE,20 DE NOVIEMBRE,NINGUNO,20340,AGUASCALIENTES,AGUASCALIENTES,PEÑUELAS (EL CIENEGAL),1001,10010315,RURAL,-102.270929,21.721956,CONTINUO (JORNADA AMPLIADA)
14DPR0533M,MARIANO AZUELA,PRIMARIA,GENERAL,475,LUIS MOYA,300,BENITO JUÁREZ,PEDRO MORENO,NINGUNO,47400,JALISCO,LAGOS DE MORENO,LAGOS DE MORENO,14053,140530001,URBANA,-101.932324,21.36017,MATUTINO
14DPR0756V,MANUEL M DIEGUEZ,PRIMARIA,GENERAL,514,20 DE NOVIEMBRE,90,16 DE SEPTIEMBRE,HIDALGO,NINGUNO,45685,JALISCO,EL SALTO,SAN JOSÉ DEL CASTILLO,14070,140700020,URBANA,-103.239452,20.505379,MATUTINO
14DPR0758T,MANUEL DURAN CARDENAS,PRIMARIA,GENERAL,506,VENUSTIANO CARRANZA,9,LAS CONCHAS,PLAN DE SAN LUIS,NINGUNO,45694,JALISCO,EL SALTO,EL QUINCE (SAN JOSÉ EL QUINCE),14070,140700043,URBANA,-103.290014,20.542385,MATUTINO
