max_temp,min_temp,yr,mo,da
25.55555556,22.22222222,42,7,1
28.88888889,21.66666667,42,7,2
26.11111111,22.22222222,42,7,3
26.66666667,22.22222222,42,7,4
26.66666667,21.66666667,42,7,5
26.66666667,21.66666667,42,7,6
28.33333333,22.77777778,42,7,7
26.66666667,22.22222222,42,7,8
27.22222222,22.77777778,42,7,9
25.55555556,21.66666667,42,7,10
25.55555556,21.66666667,42,7,11
24.44444444,22.22222222,42,7,12
26.11111111,21.66666667,42,7,13
26.11111111,22.22222222,42,7,14
25.55555556,22.77777778,42,7,15
26.11111111,21.11111111,42,7,16
28.33333333,22.22222222,42,7,17
26.66666667,21.11111111,42,7,18
27.77777778,21.66666667,42,7,19
26.11111111,20,42,7,20
24.44444444,21.66666667,42,7,21
24.44444444,21.11111111,42,7,22
26.66666667,20.55555556,42,7,23
27.22222222,18.88888889,42,7,24
27.22222222,19.44444444,42,7,25
25.55555556,19.44444444,42,7,26
25.55555556,19.44444444,42,7,27
26.66666667,19.44444444,42,7,28
26.66666667,19.44444444,42,7,29
27.22222222,19.44444444,42,7,30
27.22222222,19.44444444,42,7,31
26.11111111,20,42,8,1
24.44444444,20.55555556,42,8,2
24.44444444,20.55555556,42,8,3
26.66666667,21.11111111,42,8,4
26.66666667,21.11111111,42,8,5
24.44444444,21.66666667,42,8,6
24.44444444,21.11111111,42,8,7
26.11111111,20.55555556,42,8,8
26.11111111,20.55555556,42,8,9
27.22222222,21.66666667,42,8,10
25,21.66666667,42,8,11
25.55555556,20.55555556,42,8,12
25.55555556,20.55555556,42,8,13
25.55555556,20,42,8,14
25.55555556,17.77777778,42,8,15
25.55555556,19.44444444,42,8,16
25.55555556,20,42,8,17
26.11111111,20.55555556,42,8,18
27.77777778,20.55555556,42,8,19
23.88888889,20.55555556,42,8,20
32.77777778,20,42,8,21
27.22222222,20.55555556,42,8,22
25,20.55555556,42,8,23
27.77777778,20.55555556,42,8,24
26.66666667,20,42,8,25
27.22222222,20.55555556,42,8,26
27.22222222,20.55555556,42,8,27
27.22222222,20.55555556,42,8,28
25,21.11111111,42,8,29
27.22222222,20.55555556,42,8,30
27.22222222,21.11111111,42,8,31
27.22222222,21.11111111,42,9,1
27.22222222,22.22222222,42,9,2
27.22222222,21.11111111,42,9,3
27.22222222,21.11111111,42,9,4
27.22222222,22.22222222,42,9,5
26.66666667,22.22222222,42,9,6
26.66666667,21.66666667,42,9,7
27.22222222,21.11111111,42,9,8
26.66666667,21.66666667,42,9,9
28.33333333,21.11111111,42,9,10
26.11111111,21.11111111,42,9,11
27.22222222,21.66666667,42,9,12
27.22222222,21.66666667,42,9,13
27.77777778,22.77777778,42,9,14
27.77777778,22.77777778,42,9,15
30,21.66666667,42,9,16
27.77777778,22.22222222,42,9,17
31.11111111,21.11111111,42,9,18
34.44444444,22.22222222,42,9,19
30.55555556,21.66666667,42,9,20
29.44444444,22.22222222,42,9,21
30.55555556,22.22222222,42,9,22
26.11111111,23.33333333,42,9,23
25.55555556,22.22222222,42,9,24
